Y;C;I;J;W;P;R
0.009677258;-0.108437;-0.704521;-0.768903227;-0.292758;0.002749771;0.071023559
0.005182953;-0.108986;-0.706556;-0.770206316;-0.291796;0.005484461;0.065323209
0.004801984;-0.108292;-0.708209;-0.771509404;-0.291481;0.002727273;0.063049397
0.011193518;-0.105193;-0.708319;-0.771773377;-0.292755;0.011008937;0.054115723
0.004367799;-0.105382;-0.710706;-0.772037351;-0.29143;0.002049705;0.061929625
0.004554513;-0.102729;-0.711041;-0.772301324;-0.291001;-0.000767067;0.059300067
0.004709842;-0.105108;-0.714068;-0.772565297;-0.2916;0.003198567;0.052821433
0.007111261;-0.106041;-0.7221;-0.772815196;-0.29084;0.004208647;0.053026683
0.013850153;-0.11049;-0.72164;-0.773065095;-0.293864;0.001651003;0.053543667
0.011892509;-0.111381;-0.723589;-0.773314994;-0.296138;0.003042982;0.051921018
0.013491146;-0.111972;-0.72154;-0.773564892;-0.299148;0.001643282;0.048759718
0.012849288;-0.114942;-0.719001;-0.774162567;-0.300216;0.001892983;0.047583017
0.00904404;-0.115425;-0.716157;-0.774760242;-0.30005;0.003023051;0.042011279
0.004918926;-0.113694;-0.711458;-0.775357917;-0.29643;-0.003013939;0.044053269
0.00728749;-0.11518;-0.708056;-0.775955591;-0.295828;-0.00012596;0.03964963
0.0078286;-0.117215;-0.702463;-0.776111083;-0.294195;0.002771479;0.039385861
0.007613192;-0.116481;-0.696552;-0.776266574;-0.292954;0.002889447;0.047235553
0.014257344;-0.114212;-0.690453;-0.776422065;-0.29336;0.000501065;0.052433935
0.014470789;-0.115775;-0.692188;-0.776577557;-0.293259;0.005634156;0.050187844
0.017809364;-0.116014;-0.685974;-0.778077206;-0.295041;0.005104582;0.048843418
0.012663057;-0.116279;-0.683559;-0.779576855;-0.294923;0.004583178;0.049434152
0.01434452;-0.117662;-0.67476;-0.781076504;-0.295095;0.005548705;0.046767965
0.010002772;-0.118498;-0.674427;-0.782576153;-0.293039;0.000613121;0.048479219
0.009991634;-0.118514;-0.676367;-0.783724132;-0.294894;0.001960784;0.049298546
0.006096596;-0.115757;-0.679992;-0.784872111;-0.292105;0.011863992;0.038308678
0.009172075;-0.116551;-0.682809;-0.78602009;-0.292172;-0.00024175;0.04776608
0.002052625;-0.114598;-0.682082;-0.787168069;-0.288741;-0.000967235;0.051674235
0.011515235;-0.115538;-0.690737;-0.789353803;-0.289259;0.008834564;0.043218096
0.00866692;-0.114537;-0.691404;-0.791539536;-0.287546;0.005038388;0.042011612
0.009390447;-0.113993;-0.692658;-0.79372527;-0.288256;0.004296968;0.040932032
0.005549121;-0.112085;-0.688579;-0.795911004;-0.287696;0.003208937;0.037983393
0.005235563;-0.109767;-0.688417;-0.79550119;-0.287581;0.010899183;0.028538487
0.001731117;-0.108616;-0.688904;-0.795091375;-0.285212;-0.00058596;0.04186129
0.016577567;-0.111229;-0.684544;-0.794681561;-0.28837;0.005276735;0.038232925
0.008012973;-0.110564;-0.687954;-0.794271747;-0.289174;0.000349936;0.040736064
0.01396219;-0.111897;-0.685229;-0.792488235;-0.290121;0.006296642;0.036815028
0.006832317;-0.110463;-0.682384;-0.790704723;-0.289952;0.006836616;0.034720054
0.007860297;-0.111645;-0.681509;-0.788921211;-0.290144;0.001496145;0.036732855
0.014532025;-0.110952;-0.679115;-0.7871377;-0.292134;0.004366812;0.032028188
0.007406013;-0.110289;-0.677147;-0.786940486;-0.292116;0.007093822;0.026609178
0.008844493;-0.110074;-0.675248;-0.786743272;-0.29177;0.003749148;0.028584182
0.011799822;-0.109911;-0.670063;-0.786546059;-0.291586;0.006338427;0.027524903
0.011474583;-0.110383;-0.668704;-0.786348845;-0.291418;-0.00101226;0.03615959
0.011862911;-0.109272;-0.665079;-0.787583516;-0.292833;0.00574195;0.03414172
0.016574159;-0.111153;-0.658804;-0.788818186;-0.296016;0.008619725;0.030299945
0.010009625;-0.11219;-0.657777;-0.790052857;-0.295704;-0.000554939;0.038480939
0.011304381;-0.114906;-0.654386;-0.791287527;-0.294658;0.001221544;0.039325456
0.015376958;-0.116426;-0.649285;-0.789719925;-0.297812;0.002772848;0.041146152
0.012014296;-0.115182;-0.647457;-0.788152322;-0.299054;0.008737971;0.035684369
0.009625675;-0.11396;-0.644074;-0.786584719;-0.300152;0.001535088;0.041733242
0.00685211;-0.112088;-0.6425;-0.785017117;-0.298657;0.012042917;0.028738083
0.016248027;-0.116368;-0.636145;-0.784271731;-0.300906;0.008654262;0.036100068
-0.000124235;-0.112543;-0.636784;-0.783526346;-0.298865;0.012655513;0.032168817
-0.001689406;-0.110158;-0.6378;-0.78278096;-0.295929;-0.003283203;0.042331203
-0.010334257;-0.107983;-0.647834;-0.782035575;-0.292261;-0.007863139;0.044258809
-0.02191882;-0.099977;-0.659082;-0.783235212;-0.284006;0.001606512;0.036269488
0.000678149;-0.098282;-0.66969;-0.78443485;-0.284774;0.004384089;0.031953911
0.001637231;-0.097515;-0.672365;-0.785634487;-0.283375;-0.001809858;0.037099858
0.011402572;-0.098171;-0.671918;-0.786834124;-0.28474;0.004052901;0.030781769
0.006527925;-0.098215;-0.672375;-0.786266606;-0.284389;0.008285532;0.023538468
0.009883865;-0.099622;-0.670906;-0.785699087;-0.285681;0.003687316;0.024069684
0.009517446;-0.099803;-0.666521;-0.785131569;-0.28708;-0.001259578;0.031472248
0.003783846;-0.097333;-0.664134;-0.78456405;-0.285784;0.006200736;0.029311934
0.017989927;-0.099666;-0.668058;-0.784022009;-0.288635;0.010653854;0.024711476
0.001859287;-0.102425;-0.664624;-0.783479968;-0.286673;0.004857379;0.025192621
0.004305619;-0.102498;-0.662573;-0.782937927;-0.286606;0;0.03187767
0.006972695;-0.104383;-0.659493;-0.782395886;-0.286138;0.008330762;0.022152908
0.002499413;-0.102284;-0.661433;-0.782794625;-0.284635;0.009077927;0.018669743
-0.00014598;-0.101264;-0.664229;-0.783193365;-0.282708;0.001111897;0.021009433
0.005298303;-0.102463;-0.665432;-0.783592104;-0.282878;-0.000302908;0.021379238
0.000244601;-0.100762;-0.667197;-0.783990844;-0.280874;0.002221998;0.019380672
0.005494526;-0.101053;-0.67273;-0.784944711;-0.282318;0.005441903;0.014193427
0.010248791;-0.103649;-0.674607;-0.785898578;-0.284157;0.000701614;0.022945716
-0.001284559;-0.101551;-0.671128;-0.786852445;-0.28119;-0.001402244;0.024690574
0.00549135;-0.101852;-0.667848;-0.787806313;-0.282079;0.001705115;0.020920555
0.002865528;-0.102851;-0.673408;-0.788027045;-0.281449;0.003804946;0.014796384
0.003699602;-0.102595;-0.676506;-0.788247777;-0.281213;-0.000598504;0.014986834
0.007587767;-0.104687;-0.677157;-0.78846851;-0.282828;-0.00269488;0.01375621
0.001455158;-0.103012;-0.684503;-0.788689242;-0.28222;-0.00060048;0.00651248
0.008425071;-0.105071;-0.686905;-0.788529356;-0.284815;0.003104346;0.005283987
0.003324319;-0.104345;-0.689382;-0.788369471;-0.28425;0.002795248;0.007605422
0.006856243;-0.105943;-0.688753;-0.788209585;-0.285398;-0.004977601;0.013909601
0.003969525;-0.107591;-0.682218;-0.7880497;-0.28502;0.00090045;0.005588217
0.005387162;-0.106934;-0.681335;-0.788384969;-0.284842;-0.00019992;0.004904587
-0.004285919;-0.103485;-0.680866;-0.788720237;-0.282398;0.00619876;-0.004506427
0.003411076;-0.103118;-0.678945;-0.789055506;-0.280814;-0.002881558;0.008698224
0.005605373;-0.101823;-0.677021;-0.789390775;-0.280142;0.003089188;0.006615812
0.009229528;-0.102563;-0.670732;-0.789455653;-0.279393;0.004768528;0.003048139
0.011467217;-0.105119;-0.671037;-0.789520531;-0.281046;0.001581966;0.005911034
0.007740566;-0.10551;-0.667656;-0.789585409;-0.28148;0;0.007358
0.007859821;-0.106636;-0.665335;-0.789650287;-0.280972;0.004540967;0.0043597
0.004197088;-0.104689;-0.665527;-0.790366518;-0.281545;0.006485849;0.001228818
0.002574929;-0.103613;-0.660229;-0.791082748;-0.279744;0.006346417;0.000781249
0.01135736;-0.10668;-0.658367;-0.791798978;-0.281966;0.001746386;0.005862947
0.009976989;-0.109227;-0.654704;-0.792515209;-0.283694;-0.000871671;0.006318004
0.011197565;-0.110851;-0.655254;-0.792384633;-0.291091;0.002617294;-0.000102627
0.00859199;-0.110636;-0.650475;-0.792254058;-0.29361;0.006671179;-0.008956512
0.003934404;-0.111081;-0.646118;-0.792123482;-0.292649;-0.000768344;0.000304011
-0.002573418;-0.108415;-0.643687;-0.791992906;-0.290698;0.003364091;-0.004164091
-0.038209106;-0.106445;-0.653162;-0.798791492;-0.285682;-0.005172909;0.005139576
-0.093079894;-0.095716;-0.668823;-0.805590078;-0.287269;0.001829562;-0.003596229
0.12178397;-0.095819;-0.648959;-0.812388664;-0.286961;-0.002306805;-0.000893195
0.007261976;-0.112381;-0.629836;-0.81918725;-0.290319;0.002793834;-0.004560501
0.009404936;-0.112216;-0.627806;-0.81409852;-0.291453;0.007685657;-0.00651899
0.017504346;-0.109667;-0.622552;-0.809009791;-0.291218;0.00562494;-0.00592494
0.03175567;-0.106674;-0.633507;-0.803921061;-0.289238;0.00464543;-0.003478763
0.010612552;-0.107354;-0.635156;-0.798832331;-0.287423;0.010002831;-0.004102831
0.009254083;-0.10821;-0.63201;-0.797122475;-0.286103;0.024946277;-0.008746277
0.00960161;-0.104262;-0.625808;-0.795412619;-0.285009;0.019143118;0.000223552
0.020305396;-0.103246;-0.623412;-0.793702762;-0.284847;0.001699463;0.024867207
0.013557317;-0.102657;-0.623919;-0.791992906;-0.283901;0.012768997;0.015497673
0.019035267;-0.10346;-0.629065;-0.791667153;-0.287219;0.022041968;0.007191362
0.019479468;-0.105904;-0.633889;-0.791341399;-0.291989;0.00716011;0.02413989
0.007869034;-0.102341;-0.636655;-0.791015645;-0.290881;0.005310493;0.025656177
0.012801529;-0.102661;-0.64418;-0.790689892;-0.290585;0.001107608;0.026925722
