grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.901363111;0.278367534;0.62461091;0.62461091;0.342827581;0.279334693;2.932642635;0.001901392;0.0314
0.906776169;0.285867168;0.624311174;0.624311174;0.321566832;0.267278795;2.932600042;0.000862894;0.029252
0.904861076;0.27015921;0.628017575;0.628017575;0.311583935;0.257618653;2.932694765;0.002234649;0.025632
0.907633267;0.286773049;0.628760276;0.628760276;0.316990859;0.262936478;2.933418078;0.002913014;0.024336
0.909460071;0.283966347;0.632364253;0.632364253;0.33193224;0.26610019;2.934412371;0.00411982;0.030418
0.912387795;0.285721156;0.636342094;0.636342094;0.326578783;0.280272607;2.936819173;0.006672373;0.035104
0.914690731;0.29115943;0.639135937;0.639135937;0.322167078;0.273173218;2.93722635;0.004774389;0.042945
0.912659255;0.298987897;0.639975612;0.639975612;0.314776566;0.275755725;2.936962669;0.005936553;0.045905
0.910614056;0.292291811;0.640847908;0.640847908;0.329588822;0.288133277;2.936623522;0.007452974;0.048268
0.919453756;0.289920417;0.638853235;0.638853235;0.347627727;0.288349378;2.935503672;0.007406752;0.047814
0.915124019;0.287254012;0.635411974;0.635411974;0.323918223;0.26225465;2.934519502;0.010885143;0.045395
0.916182234;0.274506781;0.634780878;0.634780878;0.329201122;0.254442682;2.93319025;0.008672835;0.039865
0.919111749;0.247136834;0.638732609;0.638732609;0.328789255;0.246982962;2.932053034;0.007162066;0.033389
0.913691218;0.222195447;0.632802436;0.632802436;0.315089057;0.216135309;2.931063101;0.008593626;0.03264
0.913893362;0.227637572;0.631813553;0.631813553;0.342485094;0.250389379;2.93008786;0.005586915;0.033485
0.918977706;0.22322964;0.634149196;0.634149196;0.378606092;0.275470854;2.928185759;0.005252303;0.033186
0.919997344;0.212762596;0.635170659;0.635170659;0.393527123;0.294610792;2.925658597;0.005091051;0.030945
0.912157581;0.216439912;0.630253118;0.630253118;0.413760733;0.331512859;2.923846928;0.004881593;0.02749
0.91360871;0.212026604;0.630380974;0.630380974;0.433697266;0.346545539;2.922199991;0.003415177;0.022133
0.918027493;0.199275624;0.632607447;0.632607447;0.440870023;0.330619974;2.922701355;0.004544229;0.020209
0.918940307;0.204667276;0.631985083;0.631985083;0.472365592;0.375388451;2.920704604;0.005032061;0.020567
0.916973155;0.187992298;0.630152137;0.630152137;0.507413275;0.397356925;2.922749209;0.004186779;0.020057
0.918541263;0.186444214;0.626512496;0.626512496;0.502685162;0.389700174;2.920875952;0.008024886;0.020277
0.91655696;0.205756368;0.625211331;0.625211331;0.503763634;0.408336402;2.921101288;0.007839752;0.020518
0.915926678;0.200261449;0.624034153;0.624034153;0.533500241;0.442013089;2.919922667;0.008628651;0.020535
0.915947274;0.16433575;0.622497168;0.622497168;0.54334778;0.434012062;2.915851739;0.006994645;0.020567
0.916986809;0.185020362;0.620101714;0.620101714;0.533616342;0.438907218;2.918253104;0.005373436;0.020623
0.918121824;0.189777873;0.617376252;0.617376252;0.533244388;0.436241185;2.920537274;0.007077199;0.020941
0.92032473;0.219263461;0.618067587;0.618067587;0.528387258;0.448579587;2.923416405;0.007217488;0.022757
0.922528965;0.211580341;0.618823472;0.618823472;0.549383899;0.466941284;2.925482264;0.007349173;0.0252
0.929015284;0.231305619;0.619744848;0.619744848;0.574634957;0.497948373;2.929709522;0.007937515;0.026977
0.932112127;0.240821841;0.623522983;0.623522983;0.598482799;0.513738157;2.932025815;0.006349221;0.03041
0.94029928;0.234510762;0.624456729;0.624456729;0.629938449;0.533756998;2.936223927;0.005565972;0.035011
0.941573088;0.269781142;0.624472736;0.624472736;0.631566664;0.539575577;2.937563272;0.007684108;0.036909
0.941905405;0.251079318;0.624251392;0.624251392;0.646897233;0.552417636;2.939817264;0.008854113;0.039557
0.943630433;0.26067216;0.62524622;0.62524622;0.66305573;0.562505033;2.940040794;0.00972909;0.040286
0.944344264;0.261978907;0.625463477;0.625463477;0.68900496;0.590860619;2.942952767;0.013163739;0.038791
0.945275688;0.267578767;0.62888536;0.62888536;0.710328114;0.614739277;2.945560278;0.012610888;0.04091
0.941188255;0.249310469;0.62990343;0.62990343;0.718249482;0.622799392;2.944394627;0.012364561;0.040067
0.937304937;0.264449533;0.630024115;0.630024115;0.696157178;0.621263445;2.943665532;0.013177152;0.042733
0.935122286;0.257836555;0.636834779;0.636834779;0.607877029;0.534235852;2.94177907;0.00694886;0.024864
0.919341842;0.197259213;0.633837772;0.633837772;0.539006445;0.477290371;2.937731069;0.00353686;0.01062
0.920989876;0.163612236;0.632026603;0.632026603;0.546541848;0.464065366;2.932679146;0.001173373;0.00698
0.924851005;0.178990113;0.634183753;0.634183753;0.588252051;0.505305216;2.932308808;-0.001022042;0.003632
0.930329035;0.175823214;0.635903906;0.635903906;0.615461056;0.518779424;2.931489929;0.001756502;0.003546
0.931857942;0.209076677;0.639400854;0.639400854;0.603874002;0.526273779;2.936668736;0.003508288;0.003477
0.937403757;0.229534217;0.640925187;0.640925187;0.598136818;0.527581546;2.940404129;0.004806931;0.003543
