frY;frI;frC;frS;frEx;FrImp;frH;frP;frR;grY;grI;grC;grS;grEx;grImp;grH;grP;grR
0.917133607;0.283482875;0.802227691;0.622551556;0.355498795;0.393233;2.886781873;0.005663305;0.035011;0.94029928;0.234510762;0.624456729;0.624456729;0.629938449;0.533756998;2.936223927;0.005565972;0.035011
0.922613325;0.294105376;0.806188266;0.624834606;0.365527211;0.405203026;2.890112667;0.005019111;0.036909;0.941573088;0.269781142;0.624472736;0.624472736;0.631566664;0.539575577;2.937563272;0.007684108;0.036909
0.922669989;0.29617665;0.80748802;0.623564271;0.380796342;0.430420804;2.892298953;0.005064107;0.039557;0.941905405;0.251079318;0.624251392;0.624251392;0.646897233;0.552417636;2.939817264;0.008854113;0.039557
0.92527194;0.299434256;0.811312639;0.625076192;0.388242352;0.44263029;2.893822715;0.005472788;0.040286;0.943630433;0.26067216;0.62524622;0.62524622;0.66305573;0.562505033;2.940040794;0.00972909;0.040286
0.923509725;0.295487258;0.81142145;0.624915178;0.404724005;0.466249041;2.894002102;0.010068361;0.038791;0.944344264;0.261978907;0.625463477;0.625463477;0.68900496;0.590860619;2.942952767;0.013163739;0.038791
0.926870429;0.302612009;0.810501131;0.625961205;0.441430186;0.493953736;2.893170625;0.012621425;0.04091;0.945275688;0.267578767;0.62888536;0.62888536;0.710328114;0.614739277;2.945560278;0.012610888;0.04091
0.920245439;0.29289042;0.80770222;0.621353392;0.43647143;0.505222688;2.892121639;0.014120807;0.040067;0.941188255;0.249310469;0.62990343;0.62990343;0.718249482;0.622799392;2.944394627;0.012364561;0.040067
0.918238588;0.291772352;0.808080745;0.622293313;0.422899011;0.496250598;2.891122026;0.013889944;0.042733;0.937304937;0.264449533;0.630024115;0.630024115;0.696157178;0.621263445;2.943665532;0.013177152;0.042733
0.915363682;0.275705383;0.807380147;0.623145728;0.332837856;0.397450003;2.889129846;0.007579557;0.024864;0.935122286;0.257836555;0.636834779;0.636834779;0.607877029;0.534235852;2.94177907;0.00694886;0.024864
0.907022645;0.234407211;0.807045339;0.623010761;0.276203735;0.343081972;2.885879717;0.002705406;0.01062;0.919341842;0.197259213;0.633837772;0.633837772;0.539006445;0.477290371;2.937731069;0.00353686;0.01062
0.904393553;0.214565672;0.806111159;0.619603712;0.287261352;0.349495257;2.883301988;-0.000898295;0.00698;0.920989876;0.163612236;0.632026603;0.632026603;0.546541848;0.464065366;2.932679146;0.001173373;0.00698
0.904811947;0.207167033;0.807297128;0.621435505;0.324080501;0.374587655;2.8821792;-0.001842037;0.003632;0.924851005;0.178990113;0.634183753;0.634183753;0.588252051;0.505305216;2.932308808;-0.001022042;0.003632
0.907978756;0.233139374;0.809808516;0.623260475;0.330365843;0.409175334;2.881648147;0.001580607;0.003546;0.930329035;0.175823214;0.635903906;0.635903906;0.615461056;0.518779424;2.931489929;0.001756502;0.003546
0.907977343;0.223352509;0.809761287;0.623596229;0.329188932;0.388433509;2.880305439;0.005714789;0.003477;0.931857942;0.209076677;0.639400854;0.639400854;0.603874002;0.526273779;2.936668736;0.003508288;0.003477
